segment,answerDate,NPS,impactInteraction,reason,improvement
1,1,8,4,La aplicación mejoro en algunos aspectos,"Ya que tengo mi dinero en la cuenta, los interes que se me generan podrían ser un poco más altos. Gracias"
1,2,8,4,Me parece buena,
1,3,8,3,Todo bien,Nada
1,1,8,5,,
2,2,8,3,Considero que está lo mismo,Hacerla menos complicada
1,3,8,3,Los asesores virtuales se desconectan,Regular más la atención al usuario con sus asesores virtuales
1,1,7,2,,
1,2,8,4,El mensaje para enviar la clave se pasa de tiempo y toca volver a empezar la transaccion,Mejorar la velocidad de envío del mensaje con la clave
2,3,8,3,Un banco sin ninguna novedad,Que deje transferir dinero a otros bancos ..nunca he podido hacerlo con colpatria
1,1,8,5,Muy rápida y fácil de usar,
2,2,7,3,"Hay pocos cajeros automáticos en la Ciudad de Medellín. Esa es una de las principales razones por las cueles la gente prefiere a Bancolombia, hay cajeros en todas partes","La aplicación funciona muy bien, en cuanto a la atención para productos AFC el personal nenecesita mucha más capacitación puesto que el año pasado por una mala asesoria para un retiro de una AFC por parte de los asesores me perjudicaron ya que perdí el beneficio tributario porque me hicieron mal el retiro"
3,3,8,3,,
1,1,8,3,"La aplicación es buena, no tengo inconveniente alguno, siempre que lo uso me va bien","Me parece muy buena, no hay demora o algún inconveniente hasta el momento"
